ID;Curr;ISOCountryCode;FinancialCentre;EventDate;EventDayOfWeek;Day;HolidayDate
11773;CNY;CN;Beijing;20200405;Sun;Ching Ming Festival;05/04/2020
11774;CNY;CN;Beijing;20200501;Fri;Labour Day 1;01/05/2020
11775;CNY;CN;Beijing;20200625;Thu;Dragon Boat Festival (Tuen Ng Day)*;25/06/2020
11776;CNY;CN;Beijing;20201001;Thu;National Day 1;01/10/2020
11777;CNY;CN;Beijing;20201001;Thu;Mid-autumn Festival*;01/10/2020
11778;CNY;CN;Beijing;20201002;Fri;National Day 2;02/10/2020
11779;CNY;CN;Beijing;20201003;Sat;National Day 3;03/10/2020
11780;CNY;CN;Beijing;20201004;Sun;National Day 4;04/10/2020
11781;CNY;CN;Beijing;20201005;Mon;National Day 5;05/10/2020
12252;COP;CO;Bogota;20171208;Fri;Immaculate Conception;08/12/2017
12253;COP;CO;Bogota;20171225;Mon;Christmas;25/12/2017
12254;COP;CO;Bogota;20171229;Fri;Last business day of year OBS;29/12/2017
12255;COP;CO;Bogota;20180101;Mon;New Year's Day;01/01/2018
12256;COP;CO;Bogota;20180108;Mon;Epiphany OBS;08/01/2018
12257;COP;CO;Bogota;20180319;Mon;St. Joseph's Day;19/03/2018
12258;COP;CO;Bogota;20180329;Thu;Holy Thursday;29/03/2018
12259;COP;CO;Bogota;20180330;Fri;Good Friday;30/03/2018
12260;COP;CO;Bogota;20180501;Tue;Labour Day;01/05/2018
12261;COP;CO;Bogota;20180514;Mon;Ascension;14/05/2018
12262;COP;CO;Bogota;20180604;Mon;Corpus Christi;04/06/2018
12263;COP;CO;Bogota;20180611;Mon;Sacred Heart;11/06/2018
12264;COP;CO;Bogota;20180702;Mon;Sts. Peter and Paul OBS;02/07/2018
12265;COP;CO;Bogota;20180720;Fri;Colombian Independence Day;20/07/2018
12266;COP;CO;Bogota;20180807;Tue;Battle of Boyaca;07/08/2018
12267;COP;CO;Bogota;20180820;Mon;Assumption Day OBS;20/08/2018
12268;COP;CO;Bogota;20181015;Mon;Race Day OBS;15/10/2018
12269;COP;CO;Bogota;20181105;Mon;All Saints' Day OBS;05/11/2018
12270;COP;CO;Bogota;20181112;Mon;Independence of Cartagena OBS;12/11/2018
12271;COP;CO;Bogota;20181208;Sat;Immaculate Conception;08/12/2018
12272;COP;CO;Bogota;20181225;Tue;Christmas;25/12/2018
12273;COP;CO;Bogota;20181231;Mon;Last business day of year;31/12/2018
12274;COP;CO;Bogota;20190101;Tue;New Year's Day;01/01/2019
12275;COP;CO;Bogota;20190107;Mon;Epiphany OBS;07/01/2019
12276;COP;CO;Bogota;20190325;Mon;St. Joseph's Day OBS;25/03/2019
12277;COP;CO;Bogota;20190418;Thu;Holy Thursday;18/04/2019
12278;COP;CO;Bogota;20190419;Fri;Good Friday;19/04/2019
12279;COP;CO;Bogota;20190501;Wed;Labour Day;01/05/2019
12280;COP;CO;Bogota;20190603;Mon;Ascension;03/06/2019
12281;COP;CO;Bogota;20190624;Mon;Corpus Christi;24/06/2019
12282;COP;CO;Bogota;20190701;Mon;Sacred Heart;01/07/2019
12283;COP;CO;Bogota;20190701;Mon;Sts. Peter and Paul OBS;01/07/2019
12284;COP;CO;Bogota;20190720;Sat;Colombian Independence Day;20/07/2019
12285;COP;CO;Bogota;20190807;Wed;Battle of Boyaca;07/08/2019
12286;COP;CO;Bogota;20190819;Mon;Assumption Day OBS;19/08/2019
12287;COP;CO;Bogota;20191014;Mon;Race Day OBS;14/10/2019
12288;COP;CO;Bogota;20191104;Mon;All Saints' Day OBS;04/11/2019
12289;COP;CO;Bogota;20191111;Mon;Independence of Cartagena;11/11/2019
12290;COP;CO;Bogota;20191208;Sun;Immaculate Conception;08/12/2019
12291;COP;CO;Bogota;20191225;Wed;Christmas;25/12/2019
12292;COP;CO;Bogota;20191231;Tue;Last business day of year;31/12/2019
12293;COP;CO;Bogota;20200101;Wed;New Year's Day;01/01/2020
12294;COP;CO;Bogota;20200106;Mon;Epiphany;06/01/2020
12295;COP;CO;Bogota;20200323;Mon;St. Joseph's Day OBS;23/03/2020
12296;COP;CO;Bogota;20200409;Thu;Holy Thursday;09/04/2020
12297;COP;CO;Bogota;20200410;Fri;Good Friday;10/04/2020
12298;COP;CO;Bogota;20200501;Fri;Labour Day;01/05/2020
12299;COP;CO;Bogota;20200525;Mon;Ascension;25/05/2020
12300;COP;CO;Bogota;20200615;Mon;Corpus Christi;15/06/2020
12301;COP;CO;Bogota;20200622;Mon;Sacred Heart;22/06/2020
12302;COP;CO;Bogota;20200629;Mon;Sts. Peter and Paul;29/06/2020
12303;COP;CO;Bogota;20200720;Mon;Colombian Independence Day;20/07/2020
12304;COP;CO;Bogota;20200807;Fri;Battle of Boyaca;07/08/2020
12305;COP;CO;Bogota;20200817;Mon;Assumption Day OBS;17/08/2020
12306;COP;CO;Bogota;20201012;Mon;Race Day;12/10/2020
12307;COP;CO;Bogota;20201102;Mon;All Saints' Day OBS;02/11/2020
12308;COP;CO;Bogota;20201116;Mon;Independence of Cartagena OBS;16/11/2020
12840;CRC;CR;San Jose;20171225;Mon;Christmas Day;25/12/2017
12841;CRC;CR;San Jose;20171231;Sun;New Year's Eve;31/12/2017
12842;CRC;CR;San Jose;20180101;Mon;New Year's Day;01/01/2018
12843;CRC;CR;San Jose;20180329;Thu;Holy Thursday;29/03/2018
12844;CRC;CR;San Jose;20180330;Fri;Good Friday;30/03/2018
12845;CRC;CR;San Jose;20180411;Wed;Juan Santamaria;11/04/2018
12846;CRC;CR;San Jose;20180501;Tue;Labour Day;01/05/2018
12847;CRC;CR;San Jose;20180508;Tue;Election Day;08/05/2018
12848;CRC;CR;San Jose;20180725;Wed;Anniversary of Annexation of Guanacaste;25/07/2018
12849;CRC;CR;San Jose;20180802;Thu;Our Lady of Los Angeles;02/08/2018
12850;CRC;CR;San Jose;20180815;Wed;Assumption/Mother's Day;15/08/2018
12851;CRC;CR;San Jose;20180915;Sat;Independence Day;15/09/2018
12852;CRC;CR;San Jose;20181015;Mon;Cultures Day OBS;15/10/2018
12853;CRC;CR;San Jose;20181225;Tue;Christmas Day;25/12/2018
12854;CRC;CR;San Jose;20181231;Mon;New Year's Eve;31/12/2018
12855;CRC;CR;San Jose;20190101;Tue;New Year's Day;01/01/2019
12856;CRC;CR;San Jose;20190411;Thu;Juan Santamaria;11/04/2019
12857;CRC;CR;San Jose;20190418;Thu;Holy Thursday;18/04/2019
12858;CRC;CR;San Jose;20190419;Fri;Good Friday;19/04/2019
12859;CRC;CR;San Jose;20190501;Wed;Labour Day;01/05/2019
12860;CRC;CR;San Jose;20190725;Thu;Anniversary of Annexation of Guanacaste;25/07/2019
12861;CRC;CR;San Jose;20190802;Fri;Our Lady of Los Angeles;02/08/2019
12862;CRC;CR;San Jose;20190815;Thu;Assumption/Mother's Day;15/08/2019
12863;CRC;CR;San Jose;20190915;Sun;Independence Day;15/09/2019
12864;CRC;CR;San Jose;20191012;Sat;Cultures Day;12/10/2019
12865;CRC;CR;San Jose;20191225;Wed;Christmas Day;25/12/2019
12866;CRC;CR;San Jose;20191231;Tue;New Year's Eve;31/12/2019
12867;CRC;CR;San Jose;20200101;Wed;New Year's Day;01/01/2020
12868;CRC;CR;San Jose;20200409;Thu;Holy Thursday;09/04/2020
12869;CRC;CR;San Jose;20200410;Fri;Good Friday;10/04/2020
12870;CRC;CR;San Jose;20200411;Sat;Juan Santamaria;11/04/2020
12871;CRC;CR;San Jose;20200501;Fri;Labour Day;01/05/2020
12872;CRC;CR;San Jose;20200725;Sat;Anniversary of Annexation of Guanacaste;25/07/2020
12873;CRC;CR;San Jose;20200802;Sun;Our Lady of Los Angeles;02/08/2020
12874;CRC;CR;San Jose;20200815;Sat;Assumption/Mother's Day;15/08/2020
12875;CRC;CR;San Jose;20200915;Tue;Independence Day;15/09/2020
12876;CRC;CR;San Jose;20201012;Mon;Cultures Day;12/10/2020
13226;CUP;CU;Havana;20171225;Mon;Christmas;25/12/2017
13227;CUP;CU;Havana;20171231;Sun;New Year's Eve Holiday;31/12/2017
13228;CUP;CU;Havana;20180101;Mon;Liberation Day;01/01/2018
13229;CUP;CU;Havana;20180102;Tue;New Year's Holiday;02/01/2018
13230;CUP;CU;Havana;20180330;Fri;Good Friday;30/03/2018
13231;CUP;CU;Havana;20180501;Tue;Labour Day;01/05/2018
13232;CUP;CU;Havana;20180725;Wed;National Rebellion Day 1;25/07/2018
13233;CUP;CU;Havana;20180726;Thu;National Rebellion Day 2;26/07/2018
13234;CUP;CU;Havana;20180727;Fri;National Rebellion Day 3;27/07/2018
13235;CUP;CU;Havana;20181010;Wed;Wars of Independence;10/10/2018
13236;CUP;CU;Havana;20181225;Tue;Christmas;25/12/2018
13237;CUP;CU;Havana;20181231;Mon;New Year's Eve Holiday;31/12/2018
13238;CUP;CU;Havana;20190101;Tue;Liberation Day;01/01/2019
13239;CUP;CU;Havana;20190102;Wed;New Year's Holiday;02/01/2019
13240;CUP;CU;Havana;20190419;Fri;Good Friday;19/04/2019
13241;CUP;CU;Havana;20190501;Wed;Labour Day;01/05/2019
13242;CUP;CU;Havana;20190725;Thu;National Rebellion Day 1;25/07/2019
13243;CUP;CU;Havana;20190726;Fri;National Rebellion Day 2;26/07/2019
13244;CUP;CU;Havana;20190727;Sat;National Rebellion Day 3;27/07/2019
13245;CUP;CU;Havana;20191010;Thu;Wars of Independence;10/10/2019
13246;CUP;CU;Havana;20191225;Wed;Christmas;25/12/2019
13247;CUP;CU;Havana;20191231;Tue;New Year's Eve Holiday;31/12/2019
13248;CUP;CU;Havana;20200101;Wed;Liberation Day;01/01/2020
13249;CUP;CU;Havana;20200102;Thu;New Year's Holiday;02/01/2020
13250;CUP;CU;Havana;20200410;Fri;Good Friday;10/04/2020
13251;CUP;CU;Havana;20200501;Fri;Labour Day;01/05/2020
13252;CUP;CU;Havana;20200725;Sat;National Rebellion Day 1;25/07/2020
13253;CUP;CU;Havana;20200726;Sun;National Rebellion Day 2;26/07/2020
13254;CUP;CU;Havana;20200727;Mon;National Rebellion Day 3;27/07/2020
13255;CUP;CU;Havana;20201010;Sat;Wars of Independence;10/10/2020
13553;CVE;CV;Praia;20171225;Mon;Christmas Day;25/12/2017
13554;CVE;CV;Praia;20180101;Mon;New Year's Day;01/01/2018
13555;CVE;CV;Praia;20180113;Sat;Democracy and Freedom Day;13/01/2018
13556;CVE;CV;Praia;20180120;Sat;National Heroes Day;20/01/2018
13557;CVE;CV;Praia;20180214;Wed;Ash Wednesday;14/02/2018
13558;CVE;CV;Praia;20180330;Fri;Good Friday;30/03/2018
13559;CVE;CV;Praia;20180501;Tue;Labour Day;01/05/2018
13560;CVE;CV;Praia;20180519;Sat;Municipal Day (Praia);19/05/2018
13561;CVE;CV;Praia;20180601;Fri;Children's Day;01/06/2018
13562;CVE;CV;Praia;20180705;Thu;Independence Day;05/07/2018
13563;CVE;CV;Praia;20180815;Wed;Assumption Day;15/08/2018
13564;CVE;CV;Praia;20181101;Thu;All Saints' Day;01/11/2018
13565;CVE;CV;Praia;20181225;Tue;Christmas Day;25/12/2018
13566;CVE;CV;Praia;20190101;Tue;New Year's Day;01/01/2019
13567;CVE;CV;Praia;20190113;Sun;Democracy and Freedom Day;13/01/2019
13568;CVE;CV;Praia;20190120;Sun;National Heroes Day;20/01/2019
13569;CVE;CV;Praia;20190306;Wed;Ash Wednesday;06/03/2019
13570;CVE;CV;Praia;20190419;Fri;Good Friday;19/04/2019
13571;CVE;CV;Praia;20190501;Wed;Labour Day;01/05/2019
13572;CVE;CV;Praia;20190519;Sun;Municipal Day (Praia);19/05/2019
13573;CVE;CV;Praia;20190601;Sat;Children's Day;01/06/2019
13574;CVE;CV;Praia;20190705;Fri;Independence Day;05/07/2019
13575;CVE;CV;Praia;20190815;Thu;Assumption Day;15/08/2019
13576;CVE;CV;Praia;20191101;Fri;All Saints' Day;01/11/2019
13577;CVE;CV;Praia;20191225;Wed;Christmas Day;25/12/2019
13578;CVE;CV;Praia;20200101;Wed;New Year's Day;01/01/2020
13579;CVE;CV;Praia;20200113;Mon;Democracy and Freedom Day;13/01/2020
13580;CVE;CV;Praia;20200120;Mon;National Heroes Day;20/01/2020
13581;CVE;CV;Praia;20200226;Wed;Ash Wednesday;26/02/2020
13582;CVE;CV;Praia;20200410;Fri;Good Friday;10/04/2020
13583;CVE;CV;Praia;20200501;Fri;Labour Day;01/05/2020
13584;CVE;CV;Praia;20200519;Tue;Municipal Day (Praia);19/05/2020
13585;CVE;CV;Praia;20200601;Mon;Children's Day;01/06/2020
13586;CVE;CV;Praia;20200705;Sun;Independence Day;05/07/2020
13587;CVE;CV;Praia;20200815;Sat;Assumption Day;15/08/2020
13588;CVE;CV;Praia;20201101;Sun;All Saints' Day;01/11/2020
13935;CZK;CZ;Prague;20171224;Sun;Christmas Eve;24/12/2017
13936;CZK;CZ;Prague;20171225;Mon;Christmas Day;25/12/2017
13937;CZK;CZ;Prague;20171226;Tue;Christmas Holiday;26/12/2017
13938;CZK;CZ;Prague;20180101;Mon;New Year's Day;01/01/2018
13939;CZK;CZ;Prague;20180402;Mon;Easter Monday;02/04/2018
13940;CZK;CZ;Prague;20180501;Tue;Labour Day;01/05/2018
13941;CZK;CZ;Prague;20180508;Tue;Anniversary of Liberation;08/05/2018
13942;CZK;CZ;Prague;20180705;Thu;Day of Cyril and Metodej;05/07/2018
13943;CZK;CZ;Prague;20180706;Fri;Burning at the Stake of John Hus;06/07/2018
13944;CZK;CZ;Prague;20180928;Fri;Czech Statehood Day;28/09/2018
13945;CZK;CZ;Prague;20181028;Sun;National Day;28/10/2018
13946;CZK;CZ;Prague;20181117;Sat;Freedom and Democracy Day;17/11/2018
13947;CZK;CZ;Prague;20181224;Mon;Christmas Eve;24/12/2018
13948;CZK;CZ;Prague;20181225;Tue;Christmas Day;25/12/2018
13949;CZK;CZ;Prague;20181226;Wed;Christmas Holiday;26/12/2018
13950;CZK;CZ;Prague;20190101;Tue;New Year's Day;01/01/2019
13951;CZK;CZ;Prague;20190422;Mon;Easter Monday;22/04/2019
13952;CZK;CZ;Prague;20190501;Wed;Labour Day;01/05/2019
13953;CZK;CZ;Prague;20190508;Wed;Anniversary of Liberation;08/05/2019
13954;CZK;CZ;Prague;20190705;Fri;Day of Cyril and Metodej;05/07/2019
13955;CZK;CZ;Prague;20190706;Sat;Burning at the Stake of John Hus;06/07/2019
13956;CZK;CZ;Prague;20190928;Sat;Czech Statehood Day;28/09/2019
13957;CZK;CZ;Prague;20191028;Mon;National Day;28/10/2019
13958;CZK;CZ;Prague;20191117;Sun;Freedom and Democracy Day;17/11/2019
13959;CZK;CZ;Prague;20191224;Tue;Christmas Eve;24/12/2019
13960;CZK;CZ;Prague;20191225;Wed;Christmas Day;25/12/2019
13961;CZK;CZ;Prague;20191226;Thu;Christmas Holiday;26/12/2019
13962;CZK;CZ;Prague;20200101;Wed;New Year's Day;01/01/2020
13963;CZK;CZ;Prague;20200413;Mon;Easter Monday;13/04/2020
13964;CZK;CZ;Prague;20200501;Fri;Labour Day;01/05/2020
13965;CZK;CZ;Prague;20200508;Fri;Anniversary of Liberation;08/05/2020
13966;CZK;CZ;Prague;20200705;Sun;Day of Cyril and Metodej;05/07/2020
13967;CZK;CZ;Prague;20200706;Mon;Burning at the Stake of John Hus;06/07/2020
13968;CZK;CZ;Prague;20200928;Mon;Czech Statehood Day;28/09/2020
13969;CZK;CZ;Prague;20201028;Wed;National Day;28/10/2020
13970;CZK;CZ;Prague;20201117;Tue;Freedom and Democracy Day;17/11/2020
14322;DJF;DJ;Djibouti;20171201;Fri;Prophet's Birthday*;01/12/2017
14323;DJF;DJ;Djibouti;20180101;Mon;New Year's Day;01/01/2018
14324;DJF;DJ;Djibouti;20180414;Sat;Lailat al Miraj (Ascension)*;14/04/2018
14325;DJF;DJ;Djibouti;20180501;Tue;Labour Day;01/05/2018
14326;DJF;DJ;Djibouti;20180615;Fri;El-Fitr 1*;15/06/2018
14327;DJF;DJ;Djibouti;20180616;Sat;El-Fitr 2*;16/06/2018
14328;DJF;DJ;Djibouti;20180627;Wed;Independence Day 1;27/06/2018
14329;DJF;DJ;Djibouti;20180628;Thu;Independence Day 2;28/06/2018
14330;DJF;DJ;Djibouti;20180821;Tue;El-Adha 1*;21/08/2018
14331;DJF;DJ;Djibouti;20180822;Wed;El-Adha 2*;22/08/2018
14332;DJF;DJ;Djibouti;20180823;Thu;El-Adha 3*;23/08/2018
14333;DJF;DJ;Djibouti;20180911;Tue;Islamic New Year*;11/09/2018
14334;DJF;DJ;Djibouti;20181120;Tue;Prophet's Birthday*;20/11/2018
14335;DJF;DJ;Djibouti;20190101;Tue;New Year's Day;01/01/2019
14336;DJF;DJ;Djibouti;20190402;Tue;Lailat al Miraj (Ascension)*;02/04/2019
14337;DJF;DJ;Djibouti;20190501;Wed;Labour Day;01/05/2019
14338;DJF;DJ;Djibouti;20190605;Wed;El-Fitr 1*;05/06/2019
14339;DJF;DJ;Djibouti;20190606;Thu;El-Fitr 2*;06/06/2019
14340;DJF;DJ;Djibouti;20190627;Thu;Independence Day 1;27/06/2019
14341;DJF;DJ;Djibouti;20190628;Fri;Independence Day 2;28/06/2019
14342;DJF;DJ;Djibouti;20190810;Sat;El-Adha 1*;10/08/2019
14343;DJF;DJ;Djibouti;20190811;Sun;El-Adha 2*;11/08/2019
14344;DJF;DJ;Djibouti;20190812;Mon;El-Adha 3*;12/08/2019
14345;DJF;DJ;Djibouti;20190901;Sun;Islamic New Year*;01/09/2019
14346;DJF;DJ;Djibouti;20191110;Sun;Prophet's Birthday*;10/11/2019
14347;DJF;DJ;Djibouti;20200101;Wed;New Year's Day;01/01/2020
14348;DJF;DJ;Djibouti;20200322;Sun;Lailat al Miraj (Ascension)*;22/03/2020
14349;DJF;DJ;Djibouti;20200501;Fri;Labour Day;01/05/2020
14350;DJF;DJ;Djibouti;20200524;Sun;El-Fitr 1*;24/05/2020
14351;DJF;DJ;Djibouti;20200525;Mon;El-Fitr 2*;25/05/2020
14352;DJF;DJ;Djibouti;20200627;Sat;Independence Day 1;27/06/2020
14353;DJF;DJ;Djibouti;20200628;Sun;Independence Day 2;28/06/2020
14354;DJF;DJ;Djibouti;20200730;Thu;El-Adha 1*;30/07/2020
14355;DJF;DJ;Djibouti;20200731;Fri;El-Adha 2*;31/07/2020
14356;DJF;DJ;Djibouti;20200801;Sat;El-Adha 3*;01/08/2020
14357;DJF;DJ;Djibouti;20200820;Thu;Islamic New Year*;20/08/2020
14358;DJF;DJ;Djibouti;20201029;Thu;Prophet's Birthday*;29/10/2020
14694;DKK;DK;Copenhagen;20171224;Sun;Christmas Eve;24/12/2017
14695;DKK;DK;Copenhagen;20171225;Mon;Christmas Day;25/12/2017
14696;DKK;DK;Copenhagen;20171226;Tue;Christmas Holiday;26/12/2017
14697;DKK;DK;Copenhagen;20171231;Sun;New Year's Eve;31/12/2017
14698;DKK;DK;Copenhagen;20180101;Mon;New Year's Day;01/01/2018
14699;DKK;DK;Copenhagen;20180329;Thu;Holy Thursday;29/03/2018
14700;DKK;DK;Copenhagen;20180330;Fri;Good Friday;30/03/2018
14701;DKK;DK;Copenhagen;20180402;Mon;Easter Monday;02/04/2018
14702;DKK;DK;Copenhagen;20180427;Fri;General Prayer Day;27/04/2018
14703;DKK;DK;Copenhagen;20180510;Thu;Ascension Day;10/05/2018
14704;DKK;DK;Copenhagen;20180511;Fri;Day After Ascension;11/05/2018
14705;DKK;DK;Copenhagen;20180521;Mon;Whitmonday;21/05/2018
14706;DKK;DK;Copenhagen;20180605;Tue;Constitution Day;05/06/2018
14707;DKK;DK;Copenhagen;20181224;Mon;Christmas Eve;24/12/2018
14708;DKK;DK;Copenhagen;20181225;Tue;Christmas Day;25/12/2018
14709;DKK;DK;Copenhagen;20181226;Wed;Christmas Holiday;26/12/2018
14710;DKK;DK;Copenhagen;20181231;Mon;New Year's Eve;31/12/2018
14711;DKK;DK;Copenhagen;20190101;Tue;New Year's Day;01/01/2019
14712;DKK;DK;Copenhagen;20190418;Thu;Holy Thursday;18/04/2019
14713;DKK;DK;Copenhagen;20190419;Fri;Good Friday;19/04/2019
14714;DKK;DK;Copenhagen;20190422;Mon;Easter Monday;22/04/2019
14715;DKK;DK;Copenhagen;20190517;Fri;General Prayer Day;17/05/2019
14716;DKK;DK;Copenhagen;20190530;Thu;Ascension Day;30/05/2019
14717;DKK;DK;Copenhagen;20190531;Fri;Day After Ascension;31/05/2019
14718;DKK;DK;Copenhagen;20190605;Wed;Constitution Day;05/06/2019
14719;DKK;DK;Copenhagen;20190610;Mon;Whitmonday;10/06/2019
14720;DKK;DK;Copenhagen;20191224;Tue;Christmas Eve;24/12/2019
14721;DKK;DK;Copenhagen;20191225;Wed;Christmas Day;25/12/2019
14722;DKK;DK;Copenhagen;20191226;Thu;Christmas Holiday;26/12/2019
14723;DKK;DK;Copenhagen;20191231;Tue;New Year's Eve;31/12/2019
14724;DKK;DK;Copenhagen;20200101;Wed;New Year's Day;01/01/2020
14725;DKK;DK;Copenhagen;20200409;Thu;Holy Thursday;09/04/2020
14726;DKK;DK;Copenhagen;20200410;Fri;Good Friday;10/04/2020
14727;DKK;DK;Copenhagen;20200413;Mon;Easter Monday;13/04/2020
14728;DKK;DK;Copenhagen;20200508;Fri;General Prayer Day;08/05/2020
14729;DKK;DK;Copenhagen;20200521;Thu;Ascension Day;21/05/2020
14730;DKK;DK;Copenhagen;20200522;Fri;Day After Ascension;22/05/2020
14731;DKK;DK;Copenhagen;20200601;Mon;Whitmonday;01/06/2020
14732;DKK;DK;Copenhagen;20200605;Fri;Constitution Day;05/06/2020
15110;DOP;DO;Santo Domingo;20171225;Mon;Christmas Day;25/12/2017
15111;DOP;DO;Santo Domingo;20180101;Mon;New Year's Day;01/01/2018
15112;DOP;DO;Santo Domingo;20180106;Sat;Epiphany (Three Kings);06/01/2018
15113;DOP;DO;Santo Domingo;20180121;Sun;Our Lady of Altagracia;21/01/2018
15114;DOP;DO;Santo Domingo;20180129;Mon;Duarte's Birthday OBS;29/01/2018
15115;DOP;DO;Santo Domingo;20180227;Tue;Independence Day;27/02/2018
15116;DOP;DO;Santo Domingo;20180330;Fri;Good Friday;30/03/2018
15117;DOP;DO;Santo Domingo;20180430;Mon;Labour Day OBS;30/04/2018
15118;DOP;DO;Santo Domingo;20180531;Thu;Corpus Christi;31/05/2018
15119;DOP;DO;Santo Domingo;20180816;Thu;Restoration Day;16/08/2018
15120;DOP;DO;Santo Domingo;20180924;Mon;Our Lady of Las Mercedes;24/09/2018
15121;DOP;DO;Santo Domingo;20181105;Mon;Constitution Day OBS;05/11/2018
15122;DOP;DO;Santo Domingo;20181225;Tue;Christmas Day;25/12/2018
15123;DOP;DO;Santo Domingo;20190101;Tue;New Year's Day;01/01/2019
15124;DOP;DO;Santo Domingo;20190106;Sun;Epiphany (Three Kings);06/01/2019
15125;DOP;DO;Santo Domingo;20190121;Mon;Our Lady of Altagracia;21/01/2019
15126;DOP;DO;Santo Domingo;20190126;Sat;Duarte's Birthday;26/01/2019
15127;DOP;DO;Santo Domingo;20190227;Wed;Independence Day;27/02/2019
15128;DOP;DO;Santo Domingo;20190419;Fri;Good Friday;19/04/2019
15129;DOP;DO;Santo Domingo;20190429;Mon;Labour Day OBS;29/04/2019
15130;DOP;DO;Santo Domingo;20190620;Thu;Corpus Christi;20/06/2019
15131;DOP;DO;Santo Domingo;20190816;Fri;Restoration Day;16/08/2019
15132;DOP;DO;Santo Domingo;20190924;Tue;Our Lady of Las Mercedes;24/09/2019
15133;DOP;DO;Santo Domingo;20191104;Mon;Constitution Day OBS;04/11/2019
15134;DOP;DO;Santo Domingo;20191225;Wed;Christmas Day;25/12/2019
15135;DOP;DO;Santo Domingo;20200101;Wed;New Year's Day;01/01/2020
15136;DOP;DO;Santo Domingo;20200106;Mon;Epiphany (Three Kings);06/01/2020
15137;DOP;DO;Santo Domingo;20200121;Tue;Our Lady of Altagracia;21/01/2020
15138;DOP;DO;Santo Domingo;20200126;Sun;Duarte's Birthday;26/01/2020
15139;DOP;DO;Santo Domingo;20200227;Thu;Independence Day;27/02/2020
15140;DOP;DO;Santo Domingo;20200410;Fri;Good Friday;10/04/2020
15141;DOP;DO;Santo Domingo;20200504;Mon;Labour Day OBS;04/05/2020
15142;DOP;DO;Santo Domingo;20200611;Thu;Corpus Christi;11/06/2020
15143;DOP;DO;Santo Domingo;20200816;Sun;Restoration Day;16/08/2020
15144;DOP;DO;Santo Domingo;20200924;Thu;Our Lady of Las Mercedes;24/09/2020
15145;DOP;DO;Santo Domingo;20201109;Mon;Constitution Day OBS;09/11/2020
15492;DZD;DZ;Algiers;20171201;Fri;Prophet's Birthday*;01/12/2017
15493;DZD;DZ;Algiers;20180101;Mon;New Year's Day;01/01/2018
15494;DZD;DZ;Algiers;20180501;Tue;Labour Day;01/05/2018
15495;DZD;DZ;Algiers;20180615;Fri;Eid al-Fitr*;15/06/2018
15496;DZD;DZ;Algiers;20180616;Sat;Eid al-Fitr 2*;16/06/2018
15497;DZD;DZ;Algiers;20180705;Thu;Independence Day;05/07/2018
15498;DZD;DZ;Algiers;20180822;Wed;Eid al-Adha*;22/08/2018
15499;DZD;DZ;Algiers;20180823;Thu;Eid al-Adha 2*;23/08/2018
15500;DZD;DZ;Algiers;20180911;Tue;First Day of Muharram*;11/09/2018
15501;DZD;DZ;Algiers;20180920;Thu;Ashoora*;20/09/2018
15502;DZD;DZ;Algiers;20181101;Thu;Anniversary of the Revolution;01/11/2018
15503;DZD;DZ;Algiers;20181120;Tue;Prophet's Birthday*;20/11/2018
15504;DZD;DZ;Algiers;20190101;Tue;New Year's Day;01/01/2019
15505;DZD;DZ;Algiers;20190501;Wed;Labour Day;01/05/2019
15506;DZD;DZ;Algiers;20190605;Wed;Eid al-Fitr*;05/06/2019
15507;DZD;DZ;Algiers;20190606;Thu;Eid al-Fitr 2*;06/06/2019
15508;DZD;DZ;Algiers;20190705;Fri;Independence Day;05/07/2019
15509;DZD;DZ;Algiers;20190811;Sun;Eid al-Adha*;11/08/2019
15510;DZD;DZ;Algiers;20190812;Mon;Eid al-Adha 2*;12/08/2019
15511;DZD;DZ;Algiers;20190901;Sun;First Day of Muharram*;01/09/2019
15512;DZD;DZ;Algiers;20190910;Tue;Ashoora*;10/09/2019
15513;DZD;DZ;Algiers;20191101;Fri;Anniversary of the Revolution;01/11/2019
15514;DZD;DZ;Algiers;20191109;Sat;Prophet's Birthday*;09/11/2019
15515;DZD;DZ;Algiers;20200101;Wed;New Year's Day;01/01/2020
15516;DZD;DZ;Algiers;20200501;Fri;Labour Day;01/05/2020
15517;DZD;DZ;Algiers;20200524;Sun;Eid al-Fitr*;24/05/2020
15518;DZD;DZ;Algiers;20200525;Mon;Eid al-Fitr 2*;25/05/2020
15519;DZD;DZ;Algiers;20200705;Sun;Independence Day;05/07/2020
15520;DZD;DZ;Algiers;20200731;Fri;Eid al-Adha*;31/07/2020
15521;DZD;DZ;Algiers;20200801;Sat;Eid al-Adha 2*;01/08/2020
15522;DZD;DZ;Algiers;20200820;Thu;First Day of Muharram*;20/08/2020
15523;DZD;DZ;Algiers;20200829;Sat;Ashoora*;29/08/2020
15524;DZD;DZ;Algiers;20201029;Thu;Prophet's Birthday*;29/10/2020
15525;DZD;DZ;Algiers;20201101;Sun;Anniversary of the Revolution;01/11/2020
15861;EGP;EG;Cairo;20171201;Fri;Prophet's Birthday*;01/12/2017
15862;EGP;EG;Cairo;20180107;Sun;Christmas (Eastern);07/01/2018
15863;EGP;EG;Cairo;20180125;Thu;Police Day;25/01/2018
15864;EGP;EG;Cairo;20180408;Sun;Easter Sunday (Coptic);08/04/2018
